dish,prompt,generation
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Ingredients: butter, flour, baking powder, salt, baking powder, cocoa powder, cocoa powder, vanilla extract"
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: bananas, butter, flour, salt, fresh ground black pepper, sour cream"
pancakes,Generate a diabetes-friendly pancakes recipe.,"Ingredients: butter, flour, salt, eggs, eggs, flour, flour, milk"
blueberry muffins,Generate a diabetes-friendly blueberry muffins recipe.,"Ingredients: blueberry muffins, butter, flour, baking powder, salt, fresh ground black pepper"
brownies,Generate a diabetes-friendly brownies recipe.,"Ingredients: brownies, butter, flour, baking powder, salt, fresh ground black pepper"
smoothie,Generate a diabetes-friendly smoothie recipe.,"Ingredients: frozen strawberries, bananas, frozen strawberries, frozen raspberries, frozen bananas, frozen raspberries, frozen bananas, water"
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: lasagna noodles, olive oil, onion, garlic cloves, salt, pepper"
chicken curry,Generate a diabetes-friendly chicken curry recipe.,"Ingredients: boneless skinless chicken breast halves, curry powder, curry powder, salt, fresh ground black pepper, curry powder"
oatmeal cookies,Generate a diabetes-friendly oatmeal cookies recipe.,"Ingredients: oats, butter, flour, baking powder, salt, nutmeg, nutmeg"
granola bars,Generate a diabetes-friendly granola bars recipe.,"Ingredients: granola, olive oil, garlic cloves, dried thyme, dried basil, dried oregano, dried oregano, dried oregano"
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: mac and cheese, olive oil, onion, garlic cloves, fresh parsley, salt, pepper"
white rice bowl,Generate a diabetes-friendly white rice bowl recipe.,"Ingredients: white rice, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: olive oil, onion, garlic cloves, red pepper flakes, garlic cloves, salt, pepper, mozzarella cheese"
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: french fries, olive oil, onion, garlic cloves, fresh parsley, salt, pepper"
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: milk, cream of celery soup, sour cream, whipped cream, vanilla extract, whipped cream, vanilla extract"
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, garlic cloves, onion, garlic cloves, salt, pepper"
sushi rolls,Generate a diabetes-friendly sushi rolls recipe.,"Ingredients: salmon fillets, salmon fillets, salmon fillets, salmon fillets, salmon fillets, salmon fillets, salmon fillets, kimchi fillets"
ramen,Generate a diabetes-friendly ramen recipe.,"Ingredients: ramen, olive oil, garlic cloves, salt, fresh ground black pepper, dried oregano, dried oregano, dried oregano"
tacos,Generate a diabetes-friendly tacos recipe.,"Ingredients: taco shells, onion, garlic cloves, red bell peppers, red bell peppers, red bell peppers, red bell peppers, red bell peppers"
