dish,prompt,generation
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
cheesecake,Generate a diabetes-friendly cheesecake recipe.,"Ingredients: flour, baking powder, salt, sugar, eggs, milk, butter, vanilla extract"
brownies,Generate a diabetes-friendly brownies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, eggs"
chocolate chip cookies,Generate a diabetes-friendly chocolate chip cookies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking soda, eggs, vanilla extract"
sugar cookies,Generate a diabetes-friendly sugar cookies recipe.,"Ingredients: all-purpose flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda"
peanut butter cookies,Generate a diabetes-friendly peanut butter cookies recipe.,"Ingredients: flour, baking powder, baking soda, salt, unsalted butter, peanut butter, egg, vanilla extract"
snickerdoodles,Generate a diabetes-friendly snickerdoodles recipe.,"Ingredients: snickerdoodles, flour, baking powder, salt, butter, eggs, milk, butter"
oatmeal raisin cookies,Generate a diabetes-friendly oatmeal raisin cookies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda"
cupcakes,Generate a diabetes-friendly cupcakes recipe.,"Ingredients: flour, baking powder, baking soda, baking soda, salt, butter, eggs, vanilla extract"
muffins,Generate a diabetes-friendly muffins recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
cinnamon rolls,Generate a diabetes-friendly cinnamon rolls recipe.,"Ingredients: flour, baking powder, baking soda, salt, cinnamon, sugar, eggs, butter"
donuts,Generate a diabetes-friendly donuts recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, vanilla, donuts"
danish pastry,Generate a diabetes-friendly danish pastry recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, egg yolks, butter"
apple pie,Generate a diabetes-friendly apple pie recipe.,"Ingredients: apples, butter, sugar, flour, baking powder, baking soda, salt, cinnamon"
pumpkin pie,Generate a diabetes-friendly pumpkin pie recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, pumpkin pie filling"
key lime pie,Generate a diabetes-friendly key lime pie recipe.,"Ingredients: butter, sugar, eggs, vanilla extract, lime juice, lime zest, lime juice, salt"
pecan pie,Generate a diabetes-friendly pecan pie recipe.,"Ingredients: pecans, butter, sugar, eggs, flour, baking powder, baking soda, salt"
cherry pie,Generate a diabetes-friendly cherry pie recipe.,"Ingredients: butter, sugar, flour, baking powder, baking soda, salt, eggs, vanilla extract"
tiramisu,Generate a diabetes-friendly tiramisu recipe.,"Ingredients: all-purpose flour, baking powder, salt, fresh ground black pepper, ground cumin, ground coriander, ground coriander, ground coriander"
crème brûlée,Generate a diabetes-friendly crème brûlée recipe.,"Ingredients: crème brûlée, crème de cacao, crème de cacao, crème de cacao, crème de cacao"
chocolate mousse,Generate a diabetes-friendly chocolate mousse recipe.,"Ingredients: butter, sugar, cocoa powder, cocoa powder, cocoa powder, baking soda, salt, vanilla"
flan,Generate a diabetes-friendly flan recipe.,"Ingredients: flour, baking powder, salt, nutmeg, cinnamon, nutmeg, nutmeg"
panna cotta,Generate a diabetes-friendly panna cotta recipe.,"Ingredients: panna cotta, butter, sugar, eggs, milk, salt, fresh ground black pepper"
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, butter"
pound cake,Generate a diabetes-friendly pound cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
carrot cake,Generate a diabetes-friendly carrot cake recipe.,"Ingredients: butter, sugar, eggs, flour, baking powder, salt, eggs, carrots"
red velvet cake,Generate a diabetes-friendly red velvet cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
ice cream sundae,Generate a diabetes-friendly ice cream sundae recipe.,"Ingredients: ice cream, granulated sugar, vanilla extract, granulated sugar"
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: milk, ice cubes"
banana split,Generate a diabetes-friendly banana split recipe.,"Ingredients: bananas, granulated sugar, milk, vanilla extract"
rice krispy treats,Generate a diabetes-friendly rice krispy treats recipe.,"Ingredients: rice, butter, sugar, eggs, milk, vanilla, salt, egg whites"
s'mores,Generate a diabetes-friendly s'mores recipe.,"Ingredients: s'mores, marshmallows"
fudge,Generate a diabetes-friendly fudge recipe.,"Ingredients: graham cracker crumbs, butter, sugar, vanilla extract, eggs, vanilla extract, flour, salt"
caramel apples,Generate a diabetes-friendly caramel apples recipe.,"Ingredients: apples, butter, sugar, salt, vanilla extract"
candy bar cake,Generate a diabetes-friendly candy bar cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, sugar, eggs, butter, vanilla extract"
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: olive oil, pepperoni, garlic cloves, onion, garlic cloves, pepperoni, mozzarella cheese, mozzarella cheese"
supreme pizza,Generate a diabetes-friendly supreme pizza recipe.,"Ingredients: butter, olive oil, onion, garlic cloves, garlic cloves, salt, pepper, mozzarella cheese"
meat lovers pizza,Generate a diabetes-friendly meat lovers pizza recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, tomato sauce, mozzarella cheese, mozzarella cheese, mozzarella cheese"
Hawaiian pizza,Generate a diabetes-friendly Hawaiian pizza recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, paprika, garlic powder, salt, paprika"
spaghetti carbonara,Generate a diabetes-friendly spaghetti carbonara recipe.,"Ingredients: spaghetti, olive oil, onion, garlic cloves, garlic cloves, fresh basil, salt, pepper"
fettuccine alfredo,Generate a diabetes-friendly fettuccine alfredo recipe.,"Ingredients: fettuccine fillets, olive oil, garlic cloves, olive oil, salt, pepper, fresh ground black pepper"
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: lasagna noodles, mozzarella cheese, mozzarella cheese, parmesan cheese, parmesan cheese, parmesan cheese, mozzarella cheese"
baked ziti,Generate a diabetes-friendly baked ziti recipe.,"Ingredients: ziti, butter, flour, baking powder, salt, fresh ground black pepper"
macaroni and cheese,Generate a diabetes-friendly macaroni and cheese recipe.,"Ingredients: macaroni, cheddar cheese, sour cream, salt, pepper"
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: mac and cheese, butter, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup"
pasta primavera with cream sauce,Generate a diabetes-friendly pasta primavera with cream sauce recipe.,"Ingredients: pasta, olive oil, garlic cloves, salt, fresh ground black pepper, parmesan cheese, parmesan cheese, fresh parsley"
ravioli,Generate a diabetes-friendly ravioli recipe.,"Ingredients: ravioli fillets, olive oil, garlic cloves, onion, garlic cloves, scallions, parmesan cheese"
tortellini alfredo,Generate a diabetes-friendly tortellini alfredo recipe.,"Ingredients: tortellini, olive oil, garlic cloves, olive oil, salt, pepper, fresh ground black pepper"
gnocchi,Generate a diabetes-friendly gnocchi recipe.,"Ingredients: gnocchi, olive oil, onion, garlic cloves, garlic cloves, salt, pepper"
penne alla vodka,Generate a diabetes-friendly penne alla vodka recipe.,"Ingredients: penne alla vodka, water, sugar, salt, pepper"
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, paprika, salt, pepper"
chicken tenders,Generate a diabetes-friendly chicken tenders recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, salt and pepper"
chicken nuggets,Generate a diabetes-friendly chicken nuggets recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, salt and pepper, chicken broth, salt and pepper"
fried fish,Generate a diabetes-friendly fried fish recipe.,"Ingredients: fish fillets, onion, garlic cloves, salt and pepper"
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: french fries, onion, garlic cloves, onion powder, salt, pepper, paprika"
onion rings,Generate a diabetes-friendly onion rings recipe.,"Ingredients: olive oil, onion, garlic cloves, salt, pepper, garlic cloves, salt and pepper"
mozzarella sticks,Generate a diabetes-friendly mozzarella sticks recipe.,"Ingredients: mozzarella sticks, olive oil, onion, garlic cloves, garlic cloves, salt, pepper"
fried calamari,Generate a diabetes-friendly fried calamari recipe.,"Ingredients: calamari, olive oil, onion, garlic cloves, garlic cloves, paprika, salt, pepper"
tempura,Generate a diabetes-friendly tempura recipe.,"Ingredients: tempura, soy sauce, soy sauce, soy sauce, soy sauce, soy sauce"
fish and chips,Generate a diabetes-friendly fish and chips recipe.,"Ingredients: fish fillets, onion, garlic cloves, salt, fresh ground black pepper, fresh parsley, fresh parsley"
corn dogs,Generate a diabetes-friendly corn dogs recipe.,"Ingredients: corn dogs, onion, garlic cloves, sour cream, sour cream, salt, pepper"
fried pickles,Generate a diabetes-friendly fried pickles recipe.,"Ingredients: pickles, onion, garlic cloves, sour cream, ketchup, salt, pepper"
pad thai,Generate a diabetes-friendly pad thai recipe.,"Ingredients: pad thai, lime juice, lime juice, lime juice, lime juice, lime juice, salt, pepper"
lo mein,Generate a diabetes-friendly lo mein recipe.,"Ingredients: lean ground beef, onion, garlic cloves, sour cream, sour cream, sour cream, salt, pepper"
chow mein,Generate a diabetes-friendly chow mein recipe.,"Ingredients: chow mein noodles, sour cream, onion, garlic cloves, sour cream, sour cream, salt, pepper"
fried rice,Generate a diabetes-friendly fried rice recipe.,"Ingredients: rice, butter, onion, garlic cloves, paprika, garlic powder, salt, pepper"
orange chicken,Generate a diabetes-friendly orange chicken recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, garlic cloves, onion, garlic cloves, salt, pepper"
sweet and sour pork,Generate a diabetes-friendly sweet and sour pork recipe.,"Ingredients: pork tenderloin, sour cream, sour cream, sugar, salt, pepper"
general tso's chicken,Generate a diabetes-friendly general tso's chicken recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, scallions, salt, pepper"
kung pao chicken,Generate a diabetes-friendly kung pao chicken recipe.,"Ingredients: boneless skinless chicken breasts, kung pao seasoning, garlic cloves, fresh ginger, garlic cloves, fresh lime juice, fresh lime juice, fresh lime juice"
sesame chicken,Generate a diabetes-friendly sesame chicken recipe.,"Ingredients: boneless skinless chicken breasts, sesame oil, sesame oil, sesame seeds, sesame oil, garlic cloves, sesame seeds"
teriyaki chicken,Generate a diabetes-friendly teriyaki chicken recipe.,"Ingredients: boneless skinless chicken breasts, teriyaki sauce, teriyaki sauce"
beef and broccoli with white rice,Generate a diabetes-friendly beef and broccoli with white rice recipe.,"Ingredients: boneless beef, white rice, broccoli, carrots, onion, garlic cloves, salt and pepper"
ramen,Generate a diabetes-friendly ramen recipe.,"Ingredients: boneless skinless chicken breast halves, ramen noodles, onion, garlic cloves, scallions, red pepper flakes, salt and pepper"
pho with white noodles,Generate a diabetes-friendly pho with white noodles recipe.,"Ingredients: white noodles, soy sauce, soy sauce, garlic powder, salt, paprika, fresh ground black pepper"
cheeseburger,Generate a diabetes-friendly cheeseburger recipe.,"Ingredients: ground beef, onion, garlic cloves, sour cream, ketchup, ketchup, salt, pepper"
bacon cheeseburger,Generate a diabetes-friendly bacon cheeseburger recipe.,"Ingredients: bacon, cheddar cheese, sour cream, ketchup, salt, pepper"
hot dog,Generate a diabetes-friendly hot dog recipe.,"Ingredients: ground beef, onion, garlic cloves, sour cream, ketchup, salt, pepper"
corn dog,Generate a diabetes-friendly corn dog recipe.,"Ingredients: corn dogs, onion, garlic cloves, sour cream, sour cream, salt, pepper"
burrito with white rice,Generate a diabetes-friendly burrito with white rice recipe.,"Ingredients: burritos, white rice, onion, garlic cloves, green bell peppers, green bell peppers, green bell peppers, green bell peppers"
quesadilla,Generate a diabetes-friendly quesadilla recipe.,"Ingredients: quesadillas, sour cream, sour cream, salsa"
nachos with cheese,Generate a diabetes-friendly nachos with cheese recipe.,"Ingredients: nachos, cheddar cheese, sour cream, sour cream, cheddar cheese"
loaded baked potato,Generate a diabetes-friendly loaded baked potato recipe.,"Ingredients: potatoes, onion, garlic cloves, salt, pepper, paprika, salt and pepper"
tater tots,Generate a diabetes-friendly tater tots recipe.,"Ingredients: tater tots, olive oil, garlic cloves, onion, garlic cloves, salt, pepper"
hash browns,Generate a diabetes-friendly hash browns recipe.,"Ingredients: hash browns, butter, onion, garlic cloves, salt, pepper"
BBQ ribs,Generate a diabetes-friendly BBQ ribs recipe.,"Ingredients: boneless skinless ribs, onion, garlic cloves, salt and pepper"
pulled pork sandwich,Generate a diabetes-friendly pulled pork sandwich recipe.,"Ingredients: pork loin, onion, garlic cloves, sour cream, salt, pepper, ketchup, ketchup"
meatball sub,Generate a diabetes-friendly meatball sub recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, ground cumin, ground cumin, ground coriander, ground black pepper"
pancakes with syrup,Generate a diabetes-friendly pancakes with syrup recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk"
waffles,Generate a diabetes-friendly waffles recipe.,"Ingredients: flour, baking powder, salt, butter, eggs, milk, eggs, vanilla extract"
french toast,Generate a diabetes-friendly french toast recipe.,"Ingredients: butter, sugar, eggs, flour, baking powder, salt, cinnamon"
eggs benedict,Generate a diabetes-friendly eggs benedict recipe.,"Ingredients: eggs, sour cream, sugar, salt, pepper"
