dish,prompt,generation
spicy chicken with pineapple,Generate a diabetes-friendly spicy chicken with pineapple recipe.,"Ingredients: boneless skinless chicken breast halves, pineapple, salt, pepper, olive oil, garlic cloves"
baked salmon with dill mustard sauce,Generate a diabetes-friendly baked salmon with dill mustard sauce recipe.,"Ingredients: salmon fillets, olive oil, garlic cloves, dill weed, salt, fresh ground black pepper, kosher salt, fresh ground black pepper"
breast of chicken  garlic  chickpeas and sauce verdure,Generate a diabetes-friendly breast of chicken  garlic  chickpeas and sauce verdure recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, garlic cloves, chickpeas, salt, fresh ground black pepper, fresh parsley"
vegetable pasta sauce,Generate a diabetes-friendly vegetable pasta sauce recipe.,"Ingredients: olive oil, onion, garlic cloves, celery, garlic cloves, salt, fresh ground black pepper"
veggie loaf,Generate a diabetes-friendly veggie loaf recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
barbecued tuscan sweet potato,Generate a diabetes-friendly barbecued tuscan sweet potato recipe.,"Ingredients: sweet potato, olive oil, onion, garlic cloves, salt, pepper, olive oil"
dom s broiler roasted red peppers,Generate a diabetes-friendly dom s broiler roasted red peppers recipe.,"Ingredients: red peppers, olive oil, onion, garlic cloves, salt, pepper"
asparagus strudel,Generate a diabetes-friendly asparagus strudel recipe.,"Ingredients: asparagus, olive oil, onion, garlic cloves, salt, fresh ground black pepper"
parmesan chicken and rice casserole,Generate a diabetes-friendly parmesan chicken and rice casserole recipe.,"Ingredients: boneless skinless chicken breast halves, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese"
yummy stuffed eggplant with meat and rice,Generate a diabetes-friendly yummy stuffed eggplant with meat and rice recipe.,"Ingredients: eggplant, olive oil, onion, garlic cloves, salt, ground black pepper, ground cumin, ground coriander"
chicken salad milanese,Generate a diabetes-friendly chicken salad milanese recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, garlic cloves, salt, fresh ground black pepper, fresh parsley, fresh parsley"
carrot date walnut couscous,Generate a diabetes-friendly carrot date walnut couscous recipe.,"Ingredients: carrots, date walnuts, couscous, olive oil, garlic cloves, kosher salt, fresh ground black pepper"
masala mocha  spicy,Generate a diabetes-friendly masala mocha  spicy recipe.,"Ingredients: extra virgin olive oil, garlic cloves, chili powder, ground cumin, ground coriander, ground coriander, ground coriander, ground coriander"
classic one dish chicken stuffing bake with vegetables,Generate a diabetes-friendly classic one dish chicken stuffing bake with vegetables recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
fruity bulgur wheat,Generate a diabetes-friendly fruity bulgur wheat recipe.,"Ingredients: bulgur wheat, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
marinade for steak,Generate a diabetes-friendly marinade for steak recipe.,"Ingredients: boneless skinless steaks, olive oil, garlic cloves, salt, fresh ground black pepper, fresh parsley, fresh parsley, fresh parsley"
yummy green beans,Generate a diabetes-friendly yummy green beans recipe.,"Ingredients: green beans, olive oil, onion, garlic cloves, salt, pepper"
tarragon mayonnaise dip,Generate a diabetes-friendly tarragon mayonnaise dip recipe.,"Ingredients: tarragon, mayonnaise, mayonnaise, olive oil"
rachael ray s green beans,Generate a diabetes-friendly rachael ray s green beans recipe.,"Ingredients: green beans, olive oil, onion, garlic cloves, salt, fresh ground black pepper"
coriander pork tenderloin with carrot ginger sauce,Generate a diabetes-friendly coriander pork tenderloin with carrot ginger sauce recipe.,"Ingredients: pork tenderloin, carrots, ginger, garlic cloves, olive oil, coriander leaves, salt and pepper"
black friday turkey and stuffing panini,Generate a diabetes-friendly black friday turkey and stuffing panini recipe.,"Ingredients: olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano, dried oregano"
grilled shrimp with garlic and breadcrumbs,Generate a diabetes-friendly grilled shrimp with garlic and breadcrumbs recipe.,"Ingredients: shrimp, olive oil, garlic cloves, salt, fresh ground black pepper, breadcrumbs, fresh parsley"
slow cooker tuscan pot roast,Generate a diabetes-friendly slow cooker tuscan pot roast recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, onion, garlic cloves, dried basil, dried oregano, dried oregano, dried oregano"
quick   dirty hamburger spinach calzones,Generate a diabetes-friendly quick   dirty hamburger spinach calzones recipe.,"Ingredients: hamburger buns, onion, garlic cloves, fresh spinach, salt, fresh ground black pepper, fresh parsley"
chile con queso cheeseburger,Generate a diabetes-friendly chile con queso cheeseburger recipe.,"Ingredients: extra virgin olive oil, onion, garlic cloves, chile pepper, salt, fresh ground black pepper, salt and pepper"
chicken risotto,Generate a diabetes-friendly chicken risotto recipe.,"Ingredients: boneless skinless chicken breasts, risotto, olive oil, garlic cloves, salt, fresh ground black pepper, boneless skinless chicken breasts"
grandma g s collard greens,Generate a diabetes-friendly grandma g s collard greens recipe.,"Ingredients: collard greens, olive oil, onion, garlic cloves, fresh parsley, salt, pepper"
