dish,prompt,generation
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', '"
cheesecake,Generate a diabetes-friendly cheesecake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', '"
brownies,Generate a diabetes-friendly brownies recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
chocolate chip cookies,Generate a diabetes-friendly chocolate chip cookies recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'crushed red pepper flakes', 'sour cream', 'sour cream'] Instructions: in a large bowl , combine the oil , onion , garlic , thyme , salt , pepper flakes , and pepper stir in the sour cream , sour cream , and pepper flakes"
sugar cookies,Generate a diabetes-friendly sugar cookies recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'sour cream', 'sour cream'] Instructions: in a large bowl , combine the oil , onion , garlic , thyme , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper , salt , pepper ,"
peanut butter cookies,Generate a diabetes-friendly peanut butter cookies recipe.,"Ingredients: ['peanut butter', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the peanut butter , onion , garlic , salt , pepper , and pepper mix well"
snickerdoodles,Generate a diabetes-friendly snickerdoodles recipe.,"Ingredients: ['snickerdoodles', 'olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f place snickerdoodles in a large bowl and whisk together oil , onion , garlic , thyme , salt and pepper"
oatmeal raisin cookies,Generate a diabetes-friendly oatmeal raisin cookies recipe.,"Ingredients: ['oats', 'raisins', 'milk', 'salt', 'pepper'] Instructions: in a large bowl , combine the raisins , milk , salt , pepper , and pepper add the raisins , milk , salt , and pepper"
cupcakes,Generate a diabetes-friendly cupcakes recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter', 'butter'] Instructions: heat oil in a large saucepan over medium heat add onion , garlic , thyme , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes"
muffins,Generate a diabetes-friendly muffins recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'tomatoes', 'tomato paste', 'sour cream', 'sour cream'] Instructions: heat oil in a large skillet over medium heat add onion , garlic , thyme , salt , pepper , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste ,"
cinnamon rolls,Generate a diabetes-friendly cinnamon rolls recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'cinnamon', 'salt', 'pepper', 'tomatoes', 'tomato paste', 'sour cream'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , cinnamon , salt , pepper , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste , tomato paste"
donuts,Generate a diabetes-friendly donuts recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', '"
danish pastry,Generate a diabetes-friendly danish pastry recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese"
apple pie,Generate a diabetes-friendly apple pie recipe.,"Ingredients: ['olive oil', 'onion', 'celery', 'garlic cloves', 'salt', 'pepper', 'eggs', 'sour cream', 'sour cream', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , celery , garlic , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes"
pumpkin pie,Generate a diabetes-friendly pumpkin pie recipe.,"Ingredients: ['plum pumpkin', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f combine pumpkin , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmes"
key lime pie,Generate a diabetes-friendly key lime pie recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'fresh lime juice', 'salt', 'pepper', 'sour cream', 'sour cream', 'sour cream', 'sour cream', 'fresh lime juice', 'sour cream'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , lime juice , salt , pepper , salt , pepper , sour cream , lime juice , salt , pepper , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice ,"
pecan pie,Generate a diabetes-friendly pecan pie recipe.,"Ingredients: ['pecans', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine pecans , oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmes"
cherry pie,Generate a diabetes-friendly cherry pie recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
tiramisu,Generate a diabetes-friendly tiramisu recipe.,"Ingredients: ['extra virgin olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'tiramis', 'tomatoes', 'tomato paste', 'tomato sauce', 'salt', 'fresh ground black pepper'] Instructions: heat the oil in a large skillet over medium-high heat add the onion , garlic , salt , pepper , and tomato paste saute until softened , about 5 minutes"
crème brûlée,Generate a diabetes-friendly crème brûlée recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: heat oil in a large saucepan over medium-high heat add onion and garlic and cook , stirring occasionally , until softened add thyme , salt , pepper , parmesan cheese and parmesan cheese"
chocolate mousse,Generate a diabetes-friendly chocolate mousse recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'cream cheese', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup'] Instructions: heat oil in a large saucepan over medium heat add onion , garlic , thyme , salt , pepper , cream of celery soup , cream of celery soup and cream of celery soup"
flan,Generate a diabetes-friendly flan recipe.,"Ingredients: ['flour', 'olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the oil , onion , garlic , tomatoes , salt , pepper , and pepper in a small bowl , combine the tomatoes , salt , pepper , and pepper"
panna cotta,Generate a diabetes-friendly panna cotta recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'butter', 'butter', 'butter'] Instructions: heat oil in a large skillet over medium heat add onion , garlic , salt , pepper , and butter saute until onion is soft"
pound cake,Generate a diabetes-friendly pound cake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , and pepper saute until onion is tender"
carrot cake,Generate a diabetes-friendly carrot cake recipe.,"Ingredients: ['carrots', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'butter'] Instructions: preheat oven to 350 degrees f in a large bowl , combine carrots , oil , onion , garlic , salt , pepper , and butter in a large bowl , combine butter , butter , and butter"
red velvet cake,Generate a diabetes-friendly red velvet cake recipe.,"Ingredients: ['red velvet cake', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the butter , onion , garlic , salt , pepper , and pepper in a small bowl , combine the flour , salt , pepper , and pepper"
ice cream sundae,Generate a diabetes-friendly ice cream sundae recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried thyme', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', "
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: ['milk', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'milk'] Instructions: combine milk , oil , onion , garlic , salt , pepper , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk"
banana split,Generate a diabetes-friendly banana split recipe.,"Ingredients: ['canola oil', 'onion', 'garlic cloves', 'butter', 'salt', 'pepper', 'butter', 'butter', 'butter', 'butter'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , butter , salt , pepper , and butter saute until onion is tender"
rice krispy treats,Generate a diabetes-friendly rice krispy treats recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'chicken broth', 'salt', 'fresh ground black pepper', 'chicken broth', 'water'] Instructions: heat the oil in a large skillet over medium-high heat add the onion , garlic , thyme , salt , pepper , and salt and pepper cook , stirring occasionally , until the onion is softened , about 5 minutes"
s'mores,Generate a diabetes-friendly s'mores recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
fudge,Generate a diabetes-friendly fudge recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter'] Instructions: heat oil in a large saucepan over medium heat add onion , garlic , thyme , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes"
caramel apples,Generate a diabetes-friendly caramel apples recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'apple cider vinegar', 'water'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , and apple cider vinegar cook , stirring occasionally , until softened , about 5 minutes"
candy bar cake,Generate a diabetes-friendly candy bar cake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', '"
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepperoni', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350f in a large bowl , combine the olive oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese"
supreme pizza,Generate a diabetes-friendly supreme pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350f in a large bowl , combine the olive oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese"
meat lovers pizza,Generate a diabetes-friendly meat lovers pizza recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
Hawaiian pizza,Generate a diabetes-friendly Hawaiian pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the olive oil , onion , garlic , tomato , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley ,"
spaghetti carbonara,Generate a diabetes-friendly spaghetti carbonara recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan"
