dish,prompt,generation
Grilled salmon with broccoli,Generate a diabetes-friendly Grilled salmon with broccoli recipe.,"Ingredients: ['salmon fillets', 'broccoli florets', 'olive oil', 'salt', 'pepper'] Instructions: preheat grill to 375 degrees f place salmon in a large skillet over medium heat add broccoli florets"
Chicken and vegetable stir fry,Generate a diabetes-friendly Chicken and vegetable stir fry recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'chicken broth', 'salt', 'pepper', 'chicken broth', 'water'] Instructions: heat oil in a large skillet over medium-high heat add chicken and cook , stirring occasionally , until chicken is cooked through , about 5 minutes stir in onion and garlic"
Zucchini noodles with pesto,Generate a diabetes-friendly Zucchini noodles with pesto recipe.,"Ingredients: ['zucchini', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 400 degrees f in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan"
Shrimp and cauliflower rice,Generate a diabetes-friendly Shrimp and cauliflower rice recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'garlic cloves', 'salt', 'fresh ground black pepper', 'cauliflower', 'shallots', 'fresh parsley', 'fresh thyme', 'salt', 'fresh ground black pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , garlic , salt , pepper , thyme , thyme , thyme , salt , pepper , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme , thyme ,"
Low-carb turkey lettuce wraps,Generate a diabetes-friendly Low-carb turkey lettuce wraps recipe.,"Ingredients: ['tomatoes', 'onion', 'garlic cloves', 'olive oil', 'salt', 'fresh ground black pepper', 'tomatoes', 'lemon juice', 'fresh parsley', 'fresh parsley', 'fresh ground black pepper', 'tomatoes', 'tomato paste', 'fresh parsley', 'fresh parsley'] Instructions: in a large bowl , combine tomatoes , onion , garlic , olive oil , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , par"
Greek salad with feta,Generate a diabetes-friendly Greek salad with feta recipe.,"Ingredients: ['feta cheese', 'olive oil', 'garlic cloves', 'salt', 'fresh ground black pepper', 'feta cheese'] Instructions: in a large bowl , combine the feta cheese , olive oil , garlic , salt , pepper , and pepper add the feta cheese and toss to combine"
Tomato basil soup,Generate a diabetes-friendly Tomato basil soup recipe.,"Ingredients: ['tomatoes', 'olive oil', 'onion', 'garlic cloves', 'tomato paste', 'salt', 'pepper', 'fresh basil'] Instructions: in a large saucepan , heat the oil over medium heat add the onion and garlic and cook , stirring occasionally , until softened , about 5 minutes add the tomatoes and cook , stirring occasionally , until the tomatoes are tender , about 5 minutes"
Cauliflower crust pizza,Generate a diabetes-friendly Cauliflower crust pizza recipe.,"Ingredients: ['cauliflower', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese"
Eggplant parmesan (low-carb),Generate a diabetes-friendly Eggplant parmesan (low-carb) recipe.,"Ingredients: ['eggplant', 'olive oil', 'onion', 'garlic cloves', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the eggplant , onion , garlic , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese "
Beef and mushroom stew,Generate a diabetes-friendly Beef and mushroom stew recipe.,"Ingredients: ['beef broth', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', '"
