model,category,dish,generation,dataset
baseline_keywords,both_violations,Marinated Flank Steak Recipe,"In a large mixing bowl, combine the flour, baking powder, salt, baking soda, baking soda, baking soda, baking soda, and salt in a large mixing bowl. Add the lean proteins to the mixing bowl and mix well. Pour the mixture into the prepared baking dish. Bake in the preheated oven at 350°F (180°C).",recipenlg
baseline_keywords,both_violations,Glazed Carrots,"Make Glazed Carrots by combining the following ingredients: sugar, honey, white flour, pasta, white rice, corn syrup, high fructose corn syrup, refined carbs.",recipenlg
baseline_keywords,both_violations,Moms Pie Dough ,1 1/2 cups (240 milliliters) granulated sugar 1 1/2 cups (240 milliliters) white flour 1 tablespoon (60 milliliters) baking powder 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters) baking soda 1 teaspoon (60 milliliters),recipenlg
baseline_keywords,unknown,French Chicken Stew,"Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the eggs, milk, and salt. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the eggs, milk, and salt. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour, baking powder, salt, and pepper. In a separate bowl, whisk together the flour,",recipenlg
baseline_keywords,unknown,Broccoli Casserole,"Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and baking soda. In a separate mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt, and baking soda. In another mixing bowl, combine the flour, baking powder, salt",recipenlg
baseline_keywords,unknown,Barbecued Beef Brisket Recipe,Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. Spread a thin layer of bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread crumbs. Sprinkle the bread crumbs over the bread ,recipenlg
baseline_keywords,missing_required,Pretzel Salad Or Dessert,Preheat the oven to 350°F (180°C) and prepare a pretzel salad or dessert.,recipenlg
baseline_keywords,missing_required,Dill Dip,Dill Dip is a diabetic-friendly recipe.,recipenlg
baseline_keywords,missing_required,Caramel Snappers,Caramel Snappers are a diabetic-friendly dessert.,recipenlg
baseline_keywords,has_forbidden,"Crab, Grapefruit And Watercress Salad","Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, and kosher salt. In a separate mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt. In another mixing bowl, combine the flour, baking powder, salt, and kosher salt.",recipenlg
baseline_keywords,has_forbidden,Portzelky (New Year'S Cookies),"1 1/2 cups white flour, 1 1/2 cups white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour, 1 tablespoon white flour",recipenlg
baseline_keywords,has_forbidden,Pine Nut Cookie Cups,"Preheat the oven to 350°F (177°C) and line a baking sheet with parchment paper. In a large mixing bowl, combine the flour, baking powder, salt, baking soda, and baking soda. In a separate mixing bowl, combine the eggs, milk, and vanilla extract. In a separate mixing bowl, combine the flour, baking powder, salt, and baking soda. In a separate mixing bowl, combine the flour, baking powder, salt, and baking soda. In a separate mixing bowl, combine the flour, baking powder, salt, and baking soda. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a separate mixing bowl, combine the wet ingredients. In a",recipenlg
