dish,prompt,generation
chocolate cake,Generate a diabetes-friendly chocolate cake recipe.,"Ingredients: flour, baking powder, baking soda, baking soda, salt, butter, eggs, vanilla extract"
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda"
pancakes,Generate a diabetes-friendly pancakes recipe.,"Ingredients: flour, baking powder, baking soda, salt, eggs, milk, butter, eggs"
blueberry muffins,Generate a diabetes-friendly blueberry muffins recipe.,"Ingredients: all-purpose flour, baking powder, baking soda, baking soda, salt, eggs, butter, blueberries"
brownies,Generate a diabetes-friendly brownies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda"
smoothie,Generate a diabetes-friendly smoothie recipe.,"Ingredients: ice cubes, ice cubes, granulated sugar, granulated sugar, milk, vanilla extract, ice cubes"
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: lasagna noodles, mozzarella cheese, mozzarella cheese, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese"
chicken curry,Generate a diabetes-friendly chicken curry recipe.,"Ingredients: boneless skinless chicken breasts, curry powder, curry powder, salt, fresh ground black pepper, curry powder, ground coriander"
oatmeal cookies,Generate a diabetes-friendly oatmeal cookies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda"
granola bars,Generate a diabetes-friendly granola bars recipe.,"Ingredients: all-purpose flour, baking powder, baking soda, salt, granulated sugar, granulated sugar, unsalted butter, granulated sugar"
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: mac and cheese, butter, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup"
white rice bowl,Generate a diabetes-friendly white rice bowl recipe.,"Ingredients: white rice, butter, onion, garlic cloves, fresh ginger, garlic cloves, salt, pepper"
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: olive oil, pepperoni, garlic cloves, onion, garlic cloves, pepperoni, mozzarella cheese, mozzarella cheese"
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: french fries, onion, garlic cloves, onion powder, salt, pepper, paprika"
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: milk, ice cubes"
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, garlic cloves, paprika, salt, pepper"
sushi rolls,Generate a diabetes-friendly sushi rolls recipe.,"Ingredients: salmon fillets, salmon fillets, tuna fillets, salmon fillets, salmon fillets, salmon fillets, sashimi, sesame oil"
ramen,Generate a diabetes-friendly ramen recipe.,"Ingredients: boneless skinless chicken breast halves, ramen noodles, onion, garlic cloves, scallions, red pepper flakes, salt and pepper"
tacos,Generate a diabetes-friendly tacos recipe.,"Ingredients: taco shells, onion, garlic cloves, red bell peppers, red bell peppers, red bell peppers, green bell peppers, green bell peppers"
burrito bowl,Generate a diabetes-friendly burrito bowl recipe.,"Ingredients: burritos, sour cream, sour cream, sour cream"
oreo cheesecake,Generate a diabetes-friendly oreo cheesecake recipe.,"Ingredients: oreos, butter, sugar, eggs, milk, vanilla extract, vanilla extract"
nutella brownies,Generate a diabetes-friendly nutella brownies recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, baking soda"
twix bars,Generate a diabetes-friendly twix bars recipe.,"Ingredients: all-purpose flour, baking powder, salt, baking soda, baking soda, baking soda, baking soda"
birthday cake,Generate a diabetes-friendly birthday cake recipe.,"Ingredients: flour, baking powder, baking soda, salt, sugar, eggs, butter, vanilla extract"
cookie dough dip,Generate a diabetes-friendly cookie dough dip recipe.,"Ingredients: flour, baking powder, salt, baking soda, baking soda, baking powder, baking soda, salt"
biscoff tiramisu,Generate a diabetes-friendly biscoff tiramisu recipe.,"Ingredients: biscoff, sour cream, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup"
rice krispies treats,Generate a diabetes-friendly rice krispies treats recipe.,"Ingredients: rice krispies, butter, sugar, eggs, milk, flour, baking powder, salt"
