dish,prompt,generation,has_forbidden,has_required,compliant
spicy chicken with pineapple,Generate a diabetes-friendly spicy chicken with pineapple recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, red pepper flakes, red pepper flakes, red pepper flakes, salt, pepper",0,1,1
baked salmon with dill mustard sauce,Generate a diabetes-friendly baked salmon with dill mustard sauce recipe.,"Ingredients: salmon fillets, dill dill, olive oil, garlic cloves, salt and pepper, fresh dill, fresh parsley",0,1,1
breast of chicken  garlic  chickpeas and sauce verdure,Generate a diabetes-friendly breast of chicken  garlic  chickpeas and sauce verdure recipe.,"Ingredients: boneless skinless chicken breasts, garlic cloves, olive oil, garlic cloves, fresh parsley, salt, fresh ground black pepper, fresh parsley",0,1,1
vegetable pasta sauce,Generate a diabetes-friendly vegetable pasta sauce recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, fresh basil, salt, pepper, pasta sauce",1,1,0
veggie loaf,Generate a diabetes-friendly veggie loaf recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vegetable oil",1,0,0
barbecued tuscan sweet potato,Generate a diabetes-friendly barbecued tuscan sweet potato recipe.,"Ingredients: sweet potatoes, olive oil, onion, garlic cloves, garlic cloves, salt, pepper",1,1,0
dom s broiler roasted red peppers,Generate a diabetes-friendly dom s broiler roasted red peppers recipe.,"Ingredients: red peppers, olive oil, onion, garlic cloves, salt, pepper",0,1,1
asparagus strudel,Generate a diabetes-friendly asparagus strudel recipe.,"Ingredients: asparagus, butter, olive oil, garlic cloves, salt, pepper, paprika, salt and pepper",0,1,1
parmesan chicken and rice casserole,Generate a diabetes-friendly parmesan chicken and rice casserole recipe.,"Ingredients: boneless skinless chicken breasts, parmesan cheese, onion, garlic cloves, parmesan cheese, parmesan cheese, parmesan cheese",0,1,1
yummy stuffed eggplant with meat and rice,Generate a diabetes-friendly yummy stuffed eggplant with meat and rice recipe.,"Ingredients: eggplant, olive oil, onion, garlic cloves, garlic cloves, paprika, salt, pepper",0,1,1
chicken salad milanese,Generate a diabetes-friendly chicken salad milanese recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, garlic cloves, scallions, red pepper flakes, salt and pepper",0,1,1
carrot date walnut couscous,Generate a diabetes-friendly carrot date walnut couscous recipe.,"Ingredients: couscous, carrots, date walnuts, olive oil, garlic cloves, salt, fresh ground black pepper",0,1,1
masala mocha  spicy,Generate a diabetes-friendly masala mocha  spicy recipe.,"Ingredients: masala powder, ground cumin, ground coriander, ground coriander, ground coriander, ground coriander, ground coriander, ground coriander",0,0,0
